Origin,Destination,Date,Price
BFD,RYE,11-08-2019,38.1
BFD,RYE,12-08-2019,45.4
BFD,RYE,13-08-2019,45.4
BFD,RYE,14-08-2019,45.4
BFD,RYE,15-08-2019,45.4
BFD,RYE,16-08-2019,45.4
BFD,RYE,17-08-2019,38.1
BFD,RYE,18-08-2019,38.1
BFD,RYE,19-08-2019,45.4
BFD,RYE,24-08-2019,38.1
BFD,RYE,25-08-2019,38.1
BFD,RYE,26-08-2019,44.5
BFD,RYE,31-08-2019,38.1
BFD,RYE,01-09-2019,38.1
BFD,RYE,07-09-2019,38.1
BFD,RYE,08-09-2019,38.1
BFD,RYE,14-09-2019,38.1
BFD,RYE,15-09-2019,38.1
BFD,RYE,21-09-2019,38.1
BFD,RYE,22-09-2019,38.1
BFD,SAL,17-06-2019,39.4
BFD,SAL,18-06-2019,38.9
BFD,SAL,19-06-2019,38.9
BFD,SAL,20-06-2019,38.9
BFD,SAL,21-06-2019,38.9
BFD,SAL,22-06-2019,33.8
BFD,SAL,23-06-2019,38.9
BFD,SAL,24-06-2019,39.4
BFD,SAL,25-06-2019,34.2
BFD,SAL,26-06-2019,39.4
BFD,SAL,27-06-2019,39.4
BFD,SAL,28-06-2019,39.4
BFD,SAL,29-06-2019,38.9
BFD,SAL,30-06-2019,38.9
BFD,SAL,01-07-2019,39.4
BFD,SAL,02-07-2019,39.4
BFD,SAL,03-07-2019,39.4
BFD,SAL,04-07-2019,39.4
BFD,SAL,05-07-2019,39.4
BFD,SAL,06-07-2019,38.9
BFD,SAL,07-07-2019,33.8
BFD,SAL,08-07-2019,39.4
BFD,SAL,09-07-2019,39.4
BFD,SAL,10-07-2019,39.4
BFD,SAL,11-07-2019,39.4
BFD,SAL,12-07-2019,39.4
BFD,SAL,13-07-2019,38.9
BFD,SAL,14-07-2019,33.8
BFD,SAL,15-07-2019,35.7
BFD,SAL,16-07-2019,35.7
BFD,SAL,17-07-2019,35.7
BFD,SAL,18-07-2019,35.7
BFD,SAL,19-07-2019,35.7
BFD,SAL,20-07-2019,38.9
BFD,SAL,21-07-2019,33.8
BFD,SAL,22-07-2019,35.7
BFD,SAL,23-07-2019,35.7
BFD,SAL,24-07-2019,35.7
BFD,SAL,25-07-2019,28.5
BFD,SAL,26-07-2019,28.5
BFD,SAL,27-07-2019,20.0
BFD,SAL,28-07-2019,20.0
BFD,SAL,29-07-2019,35.7
BFD,SAL,30-07-2019,35.7
BFD,SAL,31-07-2019,35.7
BFD,SAL,01-08-2019,35.7
BFD,SAL,02-08-2019,35.7
BFD,SAL,03-08-2019,23.2
BFD,SAL,04-08-2019,20.0
BFD,SAL,05-08-2019,31.9
BFD,SAL,06-08-2019,31.9
BFD,SAL,07-08-2019,31.9
BFD,SAL,08-08-2019,31.9
BFD,SAL,09-08-2019,31.9
BFD,SAL,10-08-2019,20.0
BFD,SAL,11-08-2019,20.0
BFD,SAL,12-08-2019,31.9
BFD,SAL,13-08-2019,31.9
BFD,SAL,14-08-2019,31.9
BFD,SAL,15-08-2019,31.9
BFD,SAL,16-08-2019,31.9
BFD,SAL,17-08-2019,20.0
BFD,SAL,18-08-2019,20.0
BFD,SAL,19-08-2019,31.9
BFD,SAL,24-08-2019,20.0
BFD,SAL,25-08-2019,20.0
BFD,SAL,26-08-2019,20.0
BFD,SAL,31-08-2019,20.0
BFD,SAL,01-09-2019,20.0
BFD,SAL,07-09-2019,20.0
BFD,SAL,08-09-2019,20.0
BFD,SAL,14-09-2019,20.0
BFD,SAL,15-09-2019,20.0
BFD,SAL,21-09-2019,20.0
BFD,SAL,22-09-2019,20.0
BFD,WIN,17-06-2019,31.3
BFD,WIN,18-06-2019,30.9
BFD,WIN,19-06-2019,30.9
BFD,WIN,20-06-2019,30.9
BFD,WIN,21-06-2019,30.9
BFD,WIN,22-06-2019,30.9
BFD,WIN,23-06-2019,30.9
BFD,WIN,24-06-2019,31.3
